General Information,Business,Industry,Employees,Founded,Contact Information,Address,Phone Number,Web Address,View Prospectus,Financial Information,Market Cap,Revenues,Net Income,IPO Profile,Symbol,Exchange,Shares (millions),Price range,Est. $ Volume,Manager / Joint Managers,CO-Managers,Expected To Trade,Status,Quiet Period Expiration Date,Lock-Up Period Expiration Date,SCOOP Rating,Rating Change,nan
General Information,"HF Enterprises Inc. is a diversified holding company principally engaged through its subsidiaries in property development, digital transformation technology and biohealth activities, with operations in the United States, Singapore, Hong Kong and Australia. We manage our three principal businesses primarily through our 65.4%-owned subsidiary, Singapore eDevelopment Ltd., a public company traded on the Singapore Stock Exchange. Through this subsidiary (and indirectly, through other public and private U.S. and Asian subsidiaries), we are actively developing two significant real estate projects near Houston, Texas, and in Frederick, Maryland, in our property development segment. We have designed applications for enterprise messaging and e-commerce software platforms in the United States and Asia in our digital transformation technology business unit. Our recent foray into the biohealth segment includes research to treat neurological and immune-related diseases, nutritional chemistry to create a natural sugar alternative, research regarding innovative products to slow the spread of disease, and natural foods and supplements. We opportunistically identify global businesses for acquisition, incubation and corporate advisory services, primarily related to our existing operating business segments.",REAL ESTATE,17,2018,Contact Information,"4800 Montgomery Lane, Suite 210, Bethesda, MD 20814, US",(301) 971-3940,http://www.hfenterp.com,HF Enterprises,Financial Information,$58.5mil,$26.9 mil (last 12 months),$-5.1 mil (last 12 months),IPO Profile,HFEN,NASDAQ,2.2,$7.00 - $7.00,$16.9 mil,Aegis Capital/ WestPark Capital,-,11/24/2020,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We intend to focus on healthcare or healthcare-related companies in Asian markets with a focus on the Greater China market, or global healthcare or healthcare-related companies with a meaningful growth thesis in the Greater China or Asian markets, which can benefit from the expertise and capabilities of our management team in order to create long-term shareholder value. (Note: HH&L Acquisition priced its IPO on Feb. 5, 2021, on upsized terms: 36 million units, up from 30 million in the prospectus, at $10 each to raise $360 million.)",BLANK CHECKS,0,2020,Contact Information,"Suite 3508, One Exchange Square 8 Connaught Place Central, Hong Kong",(852) 3752 2870,,HH&L Acquisition Co.,Financial Information,$375.0mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,HHLA.U,NYSE,36.0,$10.00 - $10.00,$360.0 mil,Goldman Sachs (Asia)/ Credit Suisse,-,2/5/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"Our efforts to identify a prospective target business will not be limited to a particular industry or geographic region. However, we shall not undertake our initial business combination with any entity with its principal business operations in China (including Hong Kong). (New blank-check company or SPAC incorporated in the British Virgin Islands) Our sponsor, Mr. Hooy Kok Wai, is a renowned Singaporean Chinese entrepreneur. He has rich management and marketing experience in the direct selling industry. Mr. Hooy has been the vice chairman of Perfect (China) Co., Ltd since March 1994.",BLANK CHECKS,0,2020,Contact Information,"1 Commonwealth Lane #03-20, Singapore, 149544",+65 6659 1335,,HHG CAPITAL CORP.,Financial Information,$65.17mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,HHGCU,NASDAQ,5.0,$10.00 - $10.00,$50.0 mil,EF Hutton/ Brookline Capital,-,9/21/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We are a newly organized blank check company incorporated in June 2020 as a Delaware corporation formed for the purpose of effecting a merger, capital stock exchange, asset acquisition, stock purchase, reorganization or similar business combination with one or more businesses, which we refer to throughout this prospectus as our initial business combination. While we may pursue an acquisition opportunity in any business, industry, sector or geographical location, we intend to focus on industries that complement our management team’s background in life sciences and life sciences related industries, and to capitalize on the ability of our management team to identify and acquire a business within those industries.",Blank Check,0,2020,Contact Information,"452 Fifth Avenue, 21st Floor New York, New York 10018",(646) 793-3510,,HighCape Capital Acquisition,Financial Information,$128.75mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,CAPAU,NASDAQ,10.0,$10.00 - $10.00,$100.0 mil,Cantor,-,9/4/2020,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We have not identified any potential business combination target and we have not, nor has anyone on our behalf, initiated any substantive discussions, directly or indirectly, with any potential business combination target. We intend to pursue a target in the disruptive commerce, digital media and services, and enterprise software sectors, with a primary focus on North American and European markets. (Note: This SPAC IPO was upsized at pricing: 27.5 million units, up from 25 million units in the prospectus, were priced at $10 each.)",BLANK CHECKS,0,2020,Contact Information,"16 Fayerweather Street Cambridge, MA 02138, US",(617) 401-4015,,Highland Transcend Partners I,Financial Information,$312.5mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,HTPA.U,NYSE,27.5,$10.00 - $10.00,$275.0 mil,Goldman Sachs/ J.P. Morgan,-,12/3/2020,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"Hillstream BioPharma is a pre-clinical biotech company developing novel therapeutic candidates targeting ferroptosis, an emerging new anti-cancer mechanism resulting in iron mediated cell death (“IMCD”) for treatment-resistant cancers. Our most advanced product candidate is HSB-1216, an IMCD inducer, targeting a variety of solid tumors. In a clinical pilot study conducted in Germany by the University of Heidelberg, the active drug in HSB-1216 was found to reduce tumor burden in treatment-resistant cancers, including triple negative breast cancer (“TNBC”) and epithelial carcinomas. Our goal is to submit an investigational new drug application (“IND”) to the U.S. Food and Drug Administration (“FDA”) in 2022 and start a clinical study with HSB-1216 in 2022; however, no assurance can be provided that our IND will be accepted by the FDA in 2022, if at all. If our IND is accepted by the FDA, our HSB-1216 clinical study will focus on expanding upon the clinical pilot study conducted in Germany. If we are able to start our clinical study with HSB-1216 in 2022, we anticipate that initial clinical data from such trial will be released either the end of 2022 or early 2023. (Note: Hillstream Biopharma, Inc. priced its IPO on Jan. 11, 2022, at $4 – below its $5-to-$6 range – on more shares – 3.75 million shares, up from 3.0 million shares in the prospectus – to raise $15 million.)",PHARMACEUTICAL PREPARATIONS,2,2017,Contact Information,"1200 Route 22 East, Suite 2000 Bridgewater, NJ 08807",(908) 955-3140,http://www.hillstreambio.com/,"HILLSTREAM BIOPHARMA, INC.",Financial Information,$56.65mil,$0 mil (last 12 months),$-5.96 mil (last 12 months),IPO Profile,HILS,NASDAQ,3.8,$4.00 - $4.00,$15.0 mil,ThinkEquity,-,1/12/2022,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"HireRight is a leading global provider of technology-driven workforce risk management and compliance solutions. We provide comprehensive background screening, verification, identification, monitoring, and drug and health screening services for more than 40,000 customers across the globe. We offer our services via a unified global software and data platform that tightly integrates into our customers’ human capital management (“HCM”) systems enabling highly effective and efficient workflows for workforce hiring, onboarding, and monitoring. In 2020, we screened over 20 million job applicants, employees and contractors for our customers. (Note: HireRight Holdings priced its IPO on Oct. 28, 2021, at $19 – $2 below the bottom of its $21-to-$24 range – on 22.2 million shares, the number of shares in the prospectus, to raise $421.8 million.)",Services - Business Services,2447,1990,Contact Information,"100 Centerview Drive, Suite 300, Nashville, Tennessee 37214",(615) 320-9800,http://www.hireright.com/,HireRight Holdings Corp.,Financial Information,$1786.28mil,$607.32 mil (last 12 months),$-61.8 mil (last 12 months),IPO Profile,HRT,NYSE,22.2,$19.00 - $19.00,$421.8 mil,Credit Suisse/ Goldman Sachs/ Barclays/ Jefferies/ RBC Capital Markets/ William Blair/ Baird/ KeyBanc Capital Markets/Stifel/ Truist Securities,"Citizens Capital Markets/SPC Capital Markets LLC/ Penserra Securities LLC/ R. Seelaus & Co., LLC/ Roberts & Ryan",10/29/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We are an information technology (“IT”) consulting and solutions service provider focusing on delivering services to business in various industry sectors in China. As of the date of prospectus, we have two lines of businesses— 1) services to small and medium businesses (“SMEs”), which consists of Anti-Counterfeiting Tax Control System (“ACTCS”) tax devices, ACTCS services, and IT services, and 2) services to large businesses, which consists of hardware sales and software sales. We expect to actively develop our system integration services and online service platform in the near future. Our vision is to become a one-stop consulting destination for holistic IT and other business consulting services in China.",PREPACKAGED SOFTWARE,76,2017,Contact Information,"Unit 304, No. 30 Guanri Road, Siming District, Xiamen City, Fujian Province, People’s Republic of China",+ 86 0592-5080796,http://www.xmhitek.com,Hitek Global,Financial Information,$75.0mil,$6.4 mil (last 12 months),$1.8 mil (last 12 months),IPO Profile,HKIT,NASDAQ,4.0,$5.00 - $5.00,$20.0 mil,Newbridge Securities Corporation/ WestPark Capital,-,,TBA,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We intend to initially focus on transactions with companies and/or assets in the energy industry in North America. Mr. Donald H. Goree, our chairman and CEO, has over 40 years’ experience in the oil and gas industry involving exploration and production, oil and gas pipeline construction and operations, natural gas gathering, processing and gas liquification. He is the founder, chairman and CEO of Houston Natural Resources, Inc., a global natural resource corporation located in Houston, Texas, and the controlling member of our sponsor. Mr. Goree previously was the founder and president of Goree Petroleum Inc., a corporation engaged in oil and gas exploration and production in premiere basins throughout the United States for 35 years. (Note: HNR Acquisition Corp. priced its SPAC IPO on Feb. 10, 2022, in line with the terms of its recently downsized deal: 7.5 million units at $10 each to raise $75 million. Earlier this week, HNR Acquisition cut the size of its SPAC IPO by 25 percent in an S-1/A filing dated Feb. 7, 2022, to 7.5 million units, down from 10 million units initially, at $10 each to raise $75 million. This SPAC filed its S-1 about a year ago – on Jan. 29, 2021.)",BLANK CHECKS,0,2020,Contact Information,"3730 Kirby Drive, Suite 1200 Houston, TX 77098",(713) 834-1145,,HNR Acquisition Corp.,Financial Information,$101.35mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,HNRA.U,NYSE - American,7.5,$10.00 - $10.00,$75.0 mil,EF Hutton,-,2/11/2022,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We have not selected any specific business combination target and we have not, nor has anyone on our behalf, engaged in any substantive discussions, directly or indirectly, with any business combination target with respect to an initial business combination with us. Our efforts to identify a prospective target business will not be limited to a particular industry or geographic region, although we intend to initially focus our search on identifying a prospective target business in the technology, media and telecommunications (“TMT”) industries in the United States and other developed countries.",BLANK CHECKS,0,2020,Contact Information,"2300 Carillon Point, Kirkland, WA 98033, US",(435) 278-7100,,Holicity,Financial Information,$343.2mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,HOLUU,NASDAQ,27.5,$10.00 - $10.00,$275.0 mil,Deutsche Bank Securities/ BofA Securities,-,8/5/2020,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We intend to focus on high-growth U.S. and international acquisition targets in the FinTech and Embedded Finance sectors “Embedded Finance” refers to the combination of a non-financial service provider with a financial technology. Embedded Finance offers transformational opportunities among consumer or enterprise businesses that can rapidly monetize and scale through the integration of financial technology. There are a vast range of opportunities. As described by Finextra Research and other sources, examples include: an e-commerce site offering a “buy now, pay later” option that serves as a digital loan; a ride-hailing site allowing users to pay directly on the app, rather than handing the driver cash or a credit card; an auto manufacturer or retailer electronically incorporating the application for insurance into the process of buying the vehicle; a consumer service provider allowing employees to receive payment almost instantly through a digital wallet or special debit cards; a health care provider leveraging data sets to match patients with the optimal coverage; and, a real estate service closing a transaction online without an agent as an intermediary. The potential market for Fintech is large and rapidly expanding, particularly as payments and other embedded finance capabilities have a highly accretive impact on a myriad of consumer and enterprise applications. According to Pitchbook, during 2020, Fintech companies raised over $44 billion from venture capital in over 2,000 deals, with strong momentum in the fourth quarter, and the value of venture capital exits for Fintech companies reached almost $31 billion. (Note: Home Plate Acquisition priced its SPAC IPO on Sept. 29, 2021, in line with the terms in its prospectus: 20 million units at $10 each to raise $200 million.)",BLANK CHECKS,0,2021,Contact Information,"P.O. Box 1314 New York, NY 10028",(917) 703-2312,,Home Plate Acquisition Corp.,Financial Information,$250.0mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,HPLTU,NASDAQ,20.0,$10.00 - $10.00,$200.0 mil,Jefferies,-,9/30/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We are a leading residential mortgage originator and servicer driven by a mission to create financially healthy, happy homeowners. We do this by delivering scale, efficiency and savings to our partners and customers. Our business model is focused on leveraging a nationwide network of partner relationships to drive sustainable origination growth. We manage the customer experience through our in-house servicing operations and our proprietary customer servicing portal, which we refer to as our Home Ownership Platform. Our primary focus is our Wholesale channel, which is a business-to-business-to-customer distribution model in which we utilize our relationships with independent mortgage brokerages, which we refer to as our Broker Partners, to reach our end-borrower customers. (According to Inside Mortgage Finance, we were the third-largest wholesale lender by origination volume in 2020 through Sept. 30.) (Note: Home Point Capital priced its sharply downsized IPO on Jan. 28, 2021: 7.25 million shares at $13 each – down from 12.5 million shares at a $19-to-$21 price range in the prospectus – to raise $94.25 million – or about 38 percent of the $250 million in estimated proceeds from its filed terms.)",Home Mortgage Lender,28,2014,Contact Information,"2211 Old Earhart Road, Suite 250 Ann Arbor, Michigan 48105",(888) 616-6866,http://www.homepointfinancial.com/,Home Point Capital Inc.,Financial Information,,$1019.06 mil (last 12 months),$406.61 mil (last 12 months),IPO Profile,HMPT,NASDAQ,7.3,$13.00 - $13.00,$94.3 mil,Goldman Sachs/ Wells Fargo Securities/ Morgan Stanley/ UBS Investment Bank/ Credit Suisse/ J.P. Morgan/ BofA Securities,JMP Securities/ Piper Sandler / R. Seelaus & Co./ SPC Capital Markets/ Wedbush Securities/ Zelman Partners,1/29/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"Our mission is to revolutionize the real estate transaction through technology, scale and service. By positioning ourselves at the center of the real estate process, we have created an ecosystem that empowers brokerages, franchisees, agents and consumers to conduct real estate transactions in a smarter and more efficient way. HomeSmart is a revolutionary real estate enterprise powered by our proprietary end-to-end technology platform. We provide integrated real estate solutions to agents, brokerages, franchisees and, ultimately, the consumer. Our cloud-based platform empowers our users to succeed by providing a full suite of technology offerings covering nearly every aspect of the real estate transaction. The drive towards a seamless home buying and selling experience is the catalyst for our growth. Technology and automation are at the core of our DNA—grounded in fiscal responsibility and operational excellence. We have been developing our software in-house over the last 20 years and have a 100% adoption rate across our agents. All of our franchisees and agents are automatically added as users and all transactions are processed through our technology platform. Our technology platform is focused on scalability and automation to drive transaction velocity, volume, and operating leverage for our brokers, franchisees, agents and consumers. Our business model has fueled our expansion, and we have over 23,000 agents across 194 offices in 47 states. According to RISMedia, HomeSmart was ranked in the top five residential real estate brokerages by number of transaction sides in the United States in 2020. The market for residential real estate transactions and home-related services is highly fragmented, local and complex. Real estate agents generally operate in local markets as independent contractors and typically move from brokerage to brokerage, across disparate external systems and databases, and use a multitude of services to close a single transaction. To use these services, agents are charged numerous fees and are subject to high commission splits, which may ultimately get passed on to the consumer. Operating profitability of agents is further reduced by ongoing competitive dynamics that allow consumers to push agents for lower commissions on transactions. According to the National Association of REALTORS® (“NAR”), 75% of all agents in the United States are being charged traditional commission splits by their brokerage that typically range from 16% to 39% and can be more, demonstrating there is a clear void in cost-effective and scalable solutions available to agents. We have built a cost-effective, agent-centric real estate business model powered by our cloud-based, end-to-end platform for the residential real estate transaction. Our business model and platform empower brokers, franchisees and agents to provide a seamless transaction process for consumers, while offering a flat transaction fee for franchisees and agents. Our RealSmart technology suite includes RealSmart Broker—brokerage and agent management; RealSmart Agent—business and transaction management; and RealSmart Client—buying and selling transaction management; through which franchisees, agents and consumers are connected in order to conduct all aspects of the real estate process. We believe our technology delivers a full end-to-end experience for the consumer, including virtual tours, marketing, document management, process (sale, purchase, mortgage, title and escrow) tracking, education and training, listing management and more. Additionally, our RealSmart platform allows data to be aggregated for accurate insights, decision making, real-time reporting, business management and transparency for the consumer. We have used the power of our technology, the structure of our fees and our dedicated customer service team to create a technology-enabled model that drives the success of real estate professionals.",Real Estate Agents & Managers - Platform,268,2020,Contact Information,"8388 East Hartford Drive, Suite 100 Scottsdale, Arizona 85255",(602) 230-7600,http://www.homesmart.com/,"HomeSmart Holdings, Inc.",Financial Information,,$596.0 mil (last 12 months),$-0.2 mil (last 12 months),IPO Profile,HS,NASDAQ,0.0,$0.00 - $0.00,$100.0 mil,J.P. Morgan/ BofA Securities/ Stifel/ Oppenheimer & Co.,D.A. Davidson & Co./ Stephens Inc.,,TBA,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"Note: “We are not a Chinese operating company, but an offshore holding company incorporated in the Cayman Islands. As a holding company with no material operations of our own, we conduct our operations in China through a series of agreements dated April 12, 2021 (the “Contractual Arrangements”), with a variable interest entity, or “VIE”, Shandong Hongli Special Section Tube Co., Ltd., and its subsidiaries, or collectively, “the PRC operating entities”, and this structure involves unique risks to investors. Neither we nor our subsidiaries own any equity interests in the PRC operating entities under the VIE structure.” The PRC operating entities are one of the leading cold roll formed steel profile manufacturers in China with respect to function innovation, performance improvement, and customized manufacturing of the products, according to the China Sub-Association for Cold Formed Steel Industries, a professional industrial association. A profile is a specific product designed for a specific use. The PRC operating entities design, customize and manufacture cold roll formed steel profiles for machinery and equipment in a variety of sectors, including but not limited to mining and excavation, construction, agriculture and transportation. With more than a 20-year operating history, the PRC operating entities have developed customers in more than 30 cities in China and a global network covering South Korea, Japan, the U.S., and Sweden. The customers of the PRC operating entities include large corporations and international enterprises such as Weichai LOVOL Heavy Industry Co. Ltd. (“LOVOL”), SUNGJIN TECH CO., LTD (“South Korean VOLVO”), Shandong Lingong Construction Machinery Co., Ltd. (“SDLG”), and some new customers associated with Katsushiro Machinery Co., Ltd. (“Japan Katsushiro”). Most of the customers have been with the PRC operating entities for an average of 10 years. Most of the main customers of the PRC operating entities increased orders with the PRC operating entities during the fiscal years ended December 31, 2020 and 2019 and for the six months ended June 30, 2021, and based on their new contracts with the PRC operating entities, they will continue to increase their orders in the next 2-3 years. The PRC operating entities employ a broad array of manufacturing techniques, most importantly cold roll forming (“CRF”) which is the technique used for manufacturing all their products that differentiates the PRC operating entities from other steel pipe manufacturers that employ alternative forming techniques such as extrusion or pull-trusion. CRF is widely used for applications where precise dimension and mechanical tolerances are required.",Custom steel products - manufacturing,,1999,Contact Information,"Beisanli Street, Economic Development Zone Changle County, Weifang Shandong, China 262400",+86 0536-2185222,,Hongli Group Inc.,Financial Information,$115.0mil,$16.57 mil (last 12 months),$3.03 mil (last 12 months),IPO Profile,HLP,NASDAQ,5.0,$4.00 - $6.00,$25.0 mil,EF Hutton,-,,TBA,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We are a clinical-stage biopharmaceutical company developing a new class of immunotherapeutics targeting infectious diseases and cancers based on our proprietary arenavirus platform that is designed to reprogram the body’s immune system. We are using our “off-the-shelf” technologies, VaxWave and TheraT, to elicit directly within patients a powerful and durable response of antigen-specific killer T cells and antibodies, thereby activating essential immune defenses against infectious diseases and cancers. We believe that our technologies can meaningfully leverage the human immune system for prophylactic and therapeutic purposes by eliciting killer T cell response levels previously not achieved by other published immunotherapy approaches. Our lead infectious disease product candidate, HB-101, is in a randomized, double-blinded Phase 2 clinical trial in cytomegalovirus-negative patients awaiting kidney transplantation from cytomegalovirus-positive donors. Our lead oncology product candidates, HB-201 and HB-202, are in development for the treatment of human papillomavirus-positive cancers.",PHARMACEUTICAL PREPARATIONS,60,2011,Contact Information,"350 Fifth Avenue, 72nd Floor, New York, NY 10118, US",+43 1 890 63 60,http://www.hookipapharma.com,HOOKIPA Pharma,Financial Information,$302.2mil,$7.6 mil (last 12 months),$-16.2 mil (last 12 months),IPO Profile,HOOK,NASDAQ,6.0,$14.00 - $14.00,$84.0 mil,BofA Merrill Lynch/ SVB Leerink/ RBC Capital Markets,Kempen,4/18/2019,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We are a newly incorporated blank check company incorporated as a Cayman Islands exempted company. While we may pursue an initial business combination target in any industry, we currently intend to concentrate our efforts in identifying businesses in the financial services industry, with a focus on differentiated financial services and financial services-adjacent platforms.",Blank Check,0,2020,Contact Information,"600 Steamboat Road, Suite 200 Greenwich, CT 06830",(203) 298-5300,,Horizon Acquisition Corporation,Financial Information,$625mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,HZAC.U,NYSE,50.0,$10.00 - $10.00,$500.0 mil,Credit Suisse,RBC Capital Markets,8/21/2020,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We intend to concentrate our efforts in identifying businesses in the media and entertainment industries, with a focus on differentiated product and service offerings. In particular, we expect to seek assets that target three broad themes: (1) innovative platforms that support evolving consumer trends; (2) next-generation technology that may unlock new markets and strong growth; and (3) traditional media and entertainment businesses requiring an injection of capital due to exogenous shocks from the current environment. Todd Boehly, our chairman, CEO and CFO, has spent his career building, operating and investing in businesses, both in private and public companies in a variety of market sectors. Mr. Boehly is the co-founder, chairman and CEO of Eldridge Industries, a holding company with a unique network of businesses across finance, technology, real estate and entertainment. Eldridge maintains investments in MRC, a diversified global entertainment company whose media brands include The Hollywood Reporter, Billboard and Vibe; Cloud9 and Epic Games, both in the eSports and gaming sector; the Los Angeles Dodgers; DraftKings, and Security Benefit, a 128-year-old life insurance company with more than $40 billion in assets.",BLANK CHECKS,0,2020,Contact Information,"600 Steamboat Road, Suite 200 Greenwich, CT 06830",(203) 298-5300,,Horizon Acquisition Corporation II,Financial Information,$625.0mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,HZON.U,NYSE,50.0,$10.00 - $10.00,$500.0 mil,Credit Suisse/ Deutsche Bank Securities/ RBC Capital Markets,,10/20/2020,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We are an online retailer of home goods, toys, apparel and consumer electronics. We operate as a wholesaler on Amazon. We generate most of our revenue as a third-party seller on Amazon (www.amazon.com). In late 2020, the company expanded to offer goods online at Walmart (www.walmart.com). We also sell merchandise on our own website: www.hourloop.com. (Note: Hour Loop, Inc. priced its IPO on Jan. 6, 2022, in line with the terms in its prospectus: 1.5 million shares at $4.00 each to raise $6.0 million.)",Retail - Internet & Mobile - Goods and Services,,,Contact Information,"Redmond, WA",,http://www.hourloop.com/,"Hour Loop, Inc.",Financial Information,,$52.58 mil (last 12 months),$4.86 mil (last 12 months),IPO Profile,HOUR,NASDAQ,1.5,$4.00 - $4.00,$6.0 mil,EF Hutton,-,1/7/2022,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"While we may pursue a business combination target in any business, industry or geographical location, we intend to draw upon the extensive networks, relationships and investment personnel of our management team and our sponsor to identify, source, negotiate and execute an initial business combination in Brazil in an industry in which our management team has previous experience, such as consumer goods and restaurants, or in an industry which would benefit from long-term growth in the Brazilian economy.",BLANK CHECKS,0,2020,Contact Information,"1000 N. West Street, Suite 1200, Wilmington, DE 19801, US",(302) 295-4929,,HPX Corp.,Financial Information,$250275.0mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,HPX.U,NYSE,22.0,$10.00 - $10.00,$220.0 mil,Credit Suisse,-,7/16/2020,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"Huadi International Group Co., Ltd. was incorporated on Sept. 27, 2018, under the laws of the Cayman Islands. We primarily conduct our business through our subsidiary Huadi Steel Group Co., Ltd. which was established in 1998 under the laws of the PRC. Our main business operation focuses on new product development, manufacturing, marketing and sales of stainless steel seamless pipes, tubes and stainless steel bar. We are a leading manufacturer of industrial stainless steel seamless pipes and tubes products with extensive distribution facilities and network for over 20 provinces in China. We have also offered a broad range of products exported to twenty (20) countries and regions such as United States, Mexico, Thailand, Australia, Argentina, Taiwan, India, the Philippines, UAE and Canada. Our products are widely used in the oil & gas transmission, chemistry engineering, food processing, medical devices, aeronautics and astronautics, boiler, irrigation works construction, electricity, automobile, naval architecture, paper mill and mechanical industries. Our facilities have been certified with the ISO9001 and ISO14001 quality management systems. We are a nationally recognized brand and our company has a big presence across domestic and international steel pipes industry with enhanced market prospects. For the year ended Sept. 30, 2019, the company reported net sales of $65.52 million and net income of $5.45 million, according to the prospectus. (Note: Huadi International priced slightly fewer shares – 3.125 million vs 3.59 million in the prospectus – but those shares were priced at $8, the high end of its $7-$8 range – to raise $25 million in its IPO.)",Steel pipes and products,382,1998,Contact Information,"No. 1688 Tianzhong Street, Longwan District, Wenzhou, Zhejiang Province People’s Republic of China 325025",+86-057786598888,,"Huadi International Group Co., Ltd.",Financial Information,$99.25mil,$18.98 mil (last 12 months),$-1.0 mil (last 12 months),IPO Profile,HUDI,NASDAQ,3.1,$8.00 - $8.00,$25.0 mil,Craft Capital Management LLC/ R.F. Lafferty & Co.,Shengang Securities Company Limited,1/22/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"(Note: “Investors are cautioned that you are not buying shares of a China-based operating company but instead are buying shares of a BVI holding company with operations conducted by our subsidiaries and through contractual arrangements with a variable interest entity based in China and that this structure involves unique risks to investors,” the prospectus says.) Huarui International is a holding company that was incorporated under the laws of British Virgin Islands on August 26, 2019. As a holding company with no material operations of our own, we conduct our operations in China through the VIE. The Company, through its subsidiaries and VIE, specializes in producing fine finish copper fittings and customized copper busbars for high-conductivity electrical power applications in the PRC. We obtain raw materials mainly from copper manufacturers in mainland China. Our most common raw materials include electrolytic copper, copper tape, copper bar and aluminum profile. We also procure processing equipment from various equipment manufacturers. Our products are widely used in solar energy, high-speed railway, chemistry engineering and mechanical industries. Our product portfolio includes thousands of types of copper fittings, as well as custom-designed products. We are flexible enough to provide personalized service for each customer. We believe that we have grown to be one of the leading companies in the copper fittings industry in China, offering over 15,000 parts from four separate product categories, including copper bars, hard connections, soft connections, and aluminum connections in electrical components. We also export a small amount of aluminum connections to Finland and hard connections to Czech Republic. All products are manufactured in our own ISO 9001:2015 accredited factories. In the last two fiscal years, we generated revenue mostly from generic copper busbars and fine finish copper and aluminum fittings. (Note: Revenue and net income figures are in U.S. dollars for the 12 months that ended June 30, 2021.)",Copper busbars for electrical power applications,112,2014,Contact Information,"No. 110 Huancun West Road Huaxi Industrial Park, Huashi Town Jiangyin, Jiangsu Province People’s Republic of China 214421",+86-051-080693520,,Huarui International New Material Limited,Financial Information,$43.2mil,$35.39 mil (last 12 months),$1.4 mil (last 12 months),IPO Profile,HRDG,NASDAQ,2.4,$4.00 - $6.00,$12.0 mil,Univest Securities,-,,TBA,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"While we may pursue an initial business combination in any industry, sector or geographic region, we intend to initially focus our search for an initial business combination in two broad industry sectors: (i) financial services, with a focus on financial technology (“FinTech”); and (ii) healthcare, including healthcare information technology, services and products.",BLANK CHECKS,0,2020,Contact Information,"570 Lexington Avenue, 35th Floor, New York, NY 10022. US",(212) 521-8495,,Hudson Executive Investment,Financial Information,$450mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,HECCU,NASDAQ,36.0,$10.00 - $10.00,$360.0 mil,Citigroup/ J.P. Morgan,SVB Leerink,6/9/2020,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
